Name,Address,Latitude,Longitude,Rating,Distance (m)
espacio 44 coworking,"Calle del Monte Esquinza, 44, 28010 Madrid, Spain",40.4311844,-3.6915728,5,856
buenavibracoworking,"C. de Rafael Calvo, 30, piso 1, AB, 28010 Madrid, Spain",40.4337722,-3.6924756,0,688
la raum de chamberi coworking,"Calle de Modesto Lafuente, 7, 28010 Madrid, Spain",40.4362781,-3.6965118,4.3,371
Utopicus José Abascal,"Calle de José Abascal, 56, 28003 Madrid, Spain",40.4377881,-3.6921908,4.7,774
Coworking Arapiles,"C. de Arapiles, 17, 28015 Madrid, Spain",40.4325790,-3.7076952,5,662
FLAG COWORKING,"C. de Vargas, 7, 28003 Madrid, Spain",40.4391121,-3.6985027,3.9,502
"La Fábrica | Centro de Negocios y Coworking en Quevedo, Chamberí y Trafalgar","Gta. de Quevedo, 9, 5°, 28015 Madrid, Spain",40.4334094,-3.7038213,4.8,325
Business Center Balder Madrid,"Calle de José Abascal, 44, 1ª Planta, 28003 Madrid, Spain",40.4380359,-3.6942321,4.6,637
Coolworking,"Calle Rodriguez San Pedro c/v, 28015 San Bernardo, Spain",40.4315826,-3.7053348,0,549
Sharing CO,"C. de Caracas, 6, 28010 Madrid, Spain",40.4306200,-3.6947320,4.7,675
WeWork - Espacio de oficinas y coworking,"C. de Eloy Gonzalo, 27, 28010 Madrid, Spain",40.4347140,-3.7005151,4.5,14
MEDYCO Madrid Coworking Sanitario,"Calle de Sta Engracia, 128, Bajo D, 28003 Madrid, Spain",40.4417240,-3.7014559,5,768
