Name,Address,Latitude,Longitude,Rating,Distance (m)
Global Hookah Paraguaya,"Montanaro esq, Pdte. Franco, Paraguay",-25.5578782,-54.6083423,5,5129
Tabacaria Fax,"Monseñor Rodriguez, Cd. del Este 85867, 110, Paraguay",-25.5099119,-54.6075010,0,1491
Mosso Cigar Lounge,"Moisés Galeano, Cd. del Este, Paraguay",-25.5226981,-54.6204562,0,1058
Epic Importados Paraguay,"F9QR+V7R, Regimento Piribebury, Cd. del Este 85867-110, Paraguay",-25.5102657,-54.6093695,5,1299
Nirvana Headshop,"Avenida Choferes del Chaco &, Limoy, Cd. del Este CIudad del Este, 7000, Paraguay",-25.5324069,-54.6249609,5,2146
Anubis Cigarros,"F9VQ+32H, Ciancio López, Cd. del Este, Paraguay",-25.5072637,-54.6122485,0,1172
Arabian Salt NC,"Regimiento Piribebuy 260, Cd. del Este, Paraguay",-25.5113084,-54.6093960,0,1272
Black Leaf,"5, Acaray Nte., Paraguay",-25.5338918,-54.6323081,0,2517
Fog HeadShop,"Ciudad del este 7000 Ciudad del este, 7000, Paraguay",-25.4982189,-54.6598166,4.2,4160
Blymert,"F8X3+XW4, Cd. del Este, Paraguay",-25.5003000,-54.6951858,5,7507
Smoke Friends Py,"F9QG+VVH, Av. San Blás, Cd. del Este, Paraguay",-25.5103145,-54.6227767,0,335
Tabacaria Toto,"Itá Ybaté Shopping Uni América Sala 102, 7000, Paraguay",-25.5101223,-54.6092763,4.3,1312
Tabacaria LIRRA,"Itá Ybaté, Cd. del Este 85867-110, Paraguay",-25.5101623,-54.6089869,5,1339
Fumari Next Vape Hookah,"Avenida Adrián Jara, SN Shopping Jebai Center 2° Piso, Av. Adrian Jara, Cd. del Este, Paraguay",-25.5099873,-54.6098936,4,1257
Tabacaria Argelini,"Galería Zuni, Itá Ybaté, Cd. del Este 7000, Paraguay",-25.5106960,-54.6083470,4.7,1389
Tabacaria Novedades de Arguileh,"Itá Ybaté, SN Galería Uni América Ciudad del Este PY, 7000, Paraguay",-25.5100974,-54.6089526,4.7,1345
Capitan vape,"F9QR+F92, Cd. del Este, Paraguay",-25.5113741,-54.6091077,5,1300
Orion,"Parque Mercosur, 7 7000, Cd. del Este, Paraguay",-25.5054177,-54.6952017,0,7421
KAJI HOOKAH STORE,"Galeria Uniamèrica 3º Piso, Regimento Piribebury Nº6, Cd. del Este 85867-110, Paraguay",-25.5108639,-54.6094183,0,1279
sampa vapor,"jebai 7000, Cd. del Este, Paraguay",-25.5104290,-54.6099531,5,1238
